red,green,blue
765,1201,914
765,1201,914
765,1201,914
765,1201,914
765,1201,914
765,1200,915
763,1199,912
716,1159,903
405,636,490
338,574,432
335,566,431
332,581,423
324,543,391
512,1047,699
620,960,487
784,1093,717
807,1194,888
775,1174,824
626,961,740
507,694,559
434,515,552
554,763,574
326,478,420
184,342,305
106,259,119
412,602,545
567,857,623
538,783,617
278,582,258
615,755,382
699,987,728
118,326,449
300,899,540
742,1099,838
458,939,777
203,288,236
159,261,187
139,215,160
179,259,249
373,578,364
421,749,584
423,737,576
421,737,577
418,739,574
418,739,573
418,738,573
418,738,573
417,738,573
417,738,572
417,737,572
417,737,572
417,737,572
417,737,572
416,736,572
